OTU	ASVs
*	ASV2704, ASV7495
OTU1	ASV1, ASV9, ASV10, ASV20, ASV22, ASV34, ASV36, ASV70, ASV81, ASV93, ASV168, ASV169, ASV178, ASV233, ASV300, ASV414, ASV588, ASV627, ASV689, ASV743, ASV1021, ASV1045, ASV1051, ASV1111, ASV1146, ASV1222, ASV1235, ASV1240, ASV1299, ASV1320, ASV1330, ASV1336, ASV1367, ASV1427, ASV1496, ASV1511, ASV1537, ASV1630, ASV1673, ASV1768, ASV2007, ASV2017, ASV2029, ASV2043, ASV2075, ASV2142, ASV2257, ASV2306, ASV2314, ASV2403, ASV2497, ASV2596, ASV2623, ASV2686, ASV2873, ASV2874, ASV2911, ASV2927, ASV3088, ASV3567, ASV3615, ASV3752, ASV3790, ASV3796, ASV3846, ASV3863, ASV4239, ASV4328, ASV7565, ASV11870, ASV11896
OTU2	ASV2, ASV45, ASV101, ASV187, ASV857, ASV964, ASV972, ASV1298, ASV1515, ASV1550, ASV1721, ASV1939, ASV1947, ASV2124, ASV2131, ASV2159, ASV2211, ASV2272, ASV2458, ASV2473, ASV2495, ASV2682, ASV2868, ASV3037, ASV3064, ASV3278, ASV3324, ASV3387, ASV3587, ASV3674, ASV4164, ASV4572, ASV5194, ASV5368, ASV5564, ASV5872, ASV7259, ASV7577, ASV7685, ASV8544, ASV8994, ASV11120, ASV11987
OTU3	ASV3, ASV6, ASV50, ASV58, ASV66, ASV136, ASV193, ASV286, ASV344, ASV568, ASV640, ASV881, ASV1115, ASV1139, ASV1161, ASV1190, ASV1203, ASV1242, ASV1398, ASV1533, ASV1994, ASV2009, ASV2533, ASV2584, ASV2803, ASV2818, ASV2888, ASV3185, ASV3289, ASV3323, ASV3380, ASV4022, ASV4105, ASV4745, ASV5732, ASV5853, ASV6354, ASV7354, ASV8207, ASV8387, ASV9123, ASV10158, ASV11881
OTU4	ASV4, ASV167, ASV959, ASV1319, ASV1672, ASV1683, ASV1997, ASV2718, ASV2869, ASV3028, ASV3356, ASV3738, ASV5191, ASV6041, ASV6613, ASV6785, ASV8132, ASV11517
OTU5	ASV5, ASV358, ASV630, ASV661, ASV730, ASV901, ASV1006, ASV2525, ASV3552, ASV5519, ASV7464, ASV7505, ASV9124, ASV10880
OTU6	ASV7, ASV254, ASV379, ASV1152, ASV1339, ASV1526, ASV1681, ASV1931, ASV1964, ASV2395, ASV2436, ASV2464, ASV2870, ASV2904, ASV2938, ASV2972, ASV3116, ASV3516, ASV3637, ASV3723, ASV4050, ASV4508, ASV4857, ASV5606, ASV9833, ASV9942, ASV11339, ASV11831
OTU7	ASV8, ASV52, ASV576, ASV697, ASV1138, ASV2646, ASV3164, ASV3427, ASV3793, ASV4155, ASV4248, ASV4756, ASV5501, ASV5557, ASV8261, ASV11937
OTU8	ASV11, ASV4668
OTU9	ASV12, ASV419, ASV1476, ASV2300, ASV3225, ASV3822, ASV3927, ASV5069, ASV5727, ASV8319, ASV8402, ASV8625, ASV11688
OTU10	ASV13, ASV38, ASV122, ASV604, ASV831, ASV2231, ASV2255, ASV2277, ASV2390, ASV2439, ASV2912, ASV4796, ASV4834, ASV6537
OTU11	ASV14, ASV207, ASV725, ASV748, ASV3782, ASV5890, ASV7114, ASV7146
OTU12	ASV15, ASV3487, ASV6630, ASV6930
OTU13	ASV16, ASV440, ASV538, ASV2647, ASV10060, ASV11308
OTU14	ASV17, ASV633, ASV1375, ASV2187, ASV2448, ASV3097, ASV4215, ASV5231, ASV6467, ASV8641, ASV8771, ASV8962, ASV10562
OTU15	ASV18, ASV705, ASV2677, ASV7716, ASV8803, ASV10421
OTU16	ASV19, ASV1534, ASV1628, ASV4492, ASV5772, ASV6337
OTU17	ASV21, ASV23, ASV37, ASV5188, ASV7420, ASV8317, ASV9308, ASV9808, ASV10068
OTU18	ASV24, ASV838, ASV3069, ASV3668, ASV5124, ASV10190, ASV11686
OTU19	ASV25, ASV79, ASV1497, ASV2482, ASV2750, ASV3658, ASV3679, ASV4154, ASV4249, ASV5226, ASV7761, ASV11389
OTU20	ASV26, ASV587, ASV690, ASV1172, ASV3232, ASV5002, ASV5646, ASV6313, ASV9810
OTU21	ASV27, ASV109, ASV195, ASV287, ASV314, ASV360, ASV371, ASV377, ASV378, ASV429, ASV492, ASV494, ASV566, ASV610, ASV721, ASV734, ASV736, ASV837, ASV885, ASV921, ASV931, ASV1103, ASV1216, ASV1263, ASV1274, ASV1286, ASV1365, ASV1430, ASV1453, ASV1530, ASV1577, ASV1781, ASV1875, ASV2042, ASV2116, ASV2149, ASV2271, ASV2552, ASV2919, ASV2949, ASV3024, ASV3036, ASV3055, ASV3077, ASV3079, ASV3182, ASV3206, ASV3332, ASV3667, ASV3689, ASV3986, ASV4017, ASV4191, ASV4231, ASV4294, ASV4344, ASV4410, ASV4446, ASV4488, ASV4758, ASV4968, ASV4985, ASV5240, ASV5339, ASV5561, ASV5843, ASV5969, ASV6075, ASV6406, ASV6522, ASV6535, ASV7274, ASV7754, ASV7978, ASV8193, ASV8336, ASV8595, ASV8596, ASV8638, ASV8665, ASV9007, ASV9147, ASV9265, ASV9330, ASV9829, ASV9937, ASV9984, ASV10016, ASV10873, ASV11194, ASV11526, ASV11655
OTU22	ASV28, ASV91, ASV1155, ASV1202, ASV1625, ASV1863, ASV2460, ASV2566, ASV3883, ASV3983, ASV4626, ASV4862, ASV4900, ASV5432, ASV5689, ASV5796, ASV7120, ASV7855, ASV8086
OTU23	ASV29, ASV111, ASV337, ASV2010, ASV2286, ASV3519, ASV3642, ASV3754, ASV4251, ASV5382, ASV5797, ASV6080, ASV6580, ASV8041, ASV8339, ASV8971, ASV10244, ASV10266, ASV10904
OTU24	ASV30, ASV876, ASV938, ASV1957, ASV4727, ASV8010
OTU25	ASV31, ASV904, ASV1126, ASV2047, ASV2979, ASV5376, ASV10718, ASV11575
OTU26	ASV32, ASV184, ASV217, ASV397, ASV468, ASV1295, ASV1664, ASV2399, ASV5961, ASV8475, ASV8857, ASV10010
OTU27	ASV33, ASV2122, ASV3379, ASV5314, ASV8337, ASV11627
OTU28	ASV35, ASV132, ASV134, ASV335, ASV578, ASV652, ASV653, ASV783, ASV820, ASV888, ASV1041, ASV1107, ASV1540, ASV2260, ASV4212, ASV4600, ASV4829, ASV5288, ASV5664, ASV5744, ASV5873, ASV6320, ASV7537, ASV7625, ASV7635, ASV7865, ASV9073, ASV9547, ASV9854, ASV11743
OTU29	ASV39, ASV128, ASV150, ASV180, ASV197, ASV271, ASV290, ASV304, ASV310, ASV320, ASV395, ASV477, ASV693, ASV792, ASV924, ASV980, ASV1046, ASV1089, ASV1473, ASV1507, ASV1705, ASV1816, ASV2023, ASV2281, ASV2282, ASV2582, ASV3814, ASV3941, ASV4281, ASV4666, ASV4838, ASV5009, ASV5035, ASV5538, ASV9629, ASV9859, ASV11391
OTU30	ASV41, ASV5966, ASV10690
OTU31	ASV42, ASV65, ASV220, ASV1243, ASV2059, ASV2401, ASV5462, ASV8373, ASV11370, ASV11995
OTU32	ASV43, ASV600, ASV944, ASV1599, ASV5012, ASV5291, ASV6356, ASV7399, ASV10326, ASV11498
OTU33	ASV44, ASV54, ASV3608, ASV5608, ASV9954
OTU34	ASV46, ASV292, ASV2223, ASV3246, ASV4466
OTU35	ASV47, ASV562, ASV1690, ASV2814, ASV2994, ASV4188
OTU36	ASV48, ASV1175, ASV1245, ASV4034, ASV4736, ASV8879, ASV11828
OTU37	ASV49, ASV2164, ASV8889, ASV9391
OTU38	ASV51, ASV6190, ASV11222
OTU39	ASV53, ASV345, ASV756, ASV3118, ASV4471, ASV8023, ASV12026
OTU40	ASV55, ASV2940, ASV3802
OTU41	ASV56, ASV772, ASV845, ASV894, ASV928, ASV1076, ASV1703, ASV1706, ASV1908, ASV1983, ASV2939, ASV3094, ASV3817, ASV4269, ASV4422, ASV5624, ASV5665, ASV5982, ASV8504, ASV9069, ASV9173, ASV9344, ASV10453, ASV11466
OTU42	ASV57, ASV859, ASV2163, ASV3007, ASV5254, ASV8007, ASV9300, ASV11839
OTU43	ASV59, ASV1951, ASV2376, ASV2800, ASV3216, ASV3223, ASV3502, ASV4045, ASV7019, ASV10654
OTU44	ASV60, ASV120, ASV570, ASV912, ASV1030, ASV2507, ASV3634, ASV3836, ASV5716, ASV6960, ASV10080
OTU45	ASV61, ASV10420, ASV11031
OTU46	ASV62, ASV1029, ASV2771, ASV2942, ASV5740, ASV6793, ASV9264, ASV11704
OTU47	ASV63, ASV281, ASV341, ASV516, ASV525, ASV1136, ASV1388, ASV5419, ASV9083, ASV10698, ASV11148, ASV11603
OTU48	ASV64, ASV2222, ASV2941, ASV8840, ASV9144, ASV9787, ASV10115, ASV10741, ASV11452
OTU49	ASV67, ASV95, ASV299, ASV324, ASV368, ASV560, ASV714, ASV810, ASV1355, ASV1982, ASV2056, ASV2469, ASV2921, ASV2984, ASV3958, ASV4371, ASV5884, ASV8375, ASV9249, ASV11039
OTU50	ASV68, ASV8730
OTU51	ASV69, ASV1806, ASV2465, ASV3145, ASV3889, ASV8278, ASV10103
OTU52	ASV71, ASV951, ASV3821, ASV10360
OTU53	ASV72
OTU54	ASV73, ASV739, ASV1163, ASV1765, ASV1944, ASV4023, ASV4127, ASV6332, ASV8194, ASV9019, ASV11159
OTU55	ASV74, ASV108, ASV256, ASV433, ASV549, ASV579, ASV723, ASV752, ASV1207, ASV1422, ASV1438, ASV1481, ASV1800, ASV1912, ASV2135, ASV2303, ASV2742, ASV2931, ASV3115, ASV3985, ASV5948, ASV7831, ASV8599, ASV10280, ASV10979
OTU56	ASV75, ASV1271, ASV1917, ASV2018, ASV2024, ASV2202, ASV3051, ASV3158, ASV3162, ASV3946, ASV4316, ASV4425, ASV4504, ASV5167, ASV6292, ASV7398, ASV7833, ASV8513, ASV9027, ASV9542, ASV10871, ASV11444
OTU57	ASV76, ASV284, ASV288, ASV387, ASV454, ASV930, ASV2094, ASV4415, ASV6211, ASV7025, ASV10882
OTU58	ASV77, ASV884, ASV1208, ASV1634, ASV4590, ASV7021, ASV9256
OTU59	ASV80, ASV961, ASV4103, ASV8552
OTU60	ASV82, ASV213, ASV1383, ASV2197, ASV3100, ASV4748, ASV5833, ASV7700
OTU61	ASV83, ASV157, ASV179, ASV301, ASV480, ASV628, ASV1048, ASV1458, ASV2346, ASV9372
OTU62	ASV84, ASV208, ASV1377, ASV1788, ASV2353, ASV2488, ASV2544, ASV2626, ASV3030, ASV3122, ASV3176, ASV3199, ASV3268, ASV3939, ASV4250, ASV5882, ASV5937, ASV8187, ASV8711, ASV11249
OTU63	ASV85, ASV767, ASV900, ASV984, ASV1135, ASV1248, ASV1282, ASV1600, ASV1707, ASV1920, ASV2021, ASV2138, ASV2145, ASV2168, ASV2180, ASV2186, ASV2234, ASV2313, ASV2364, ASV2404, ASV2426, ASV2449, ASV2622, ASV2668, ASV2689, ASV2691, ASV2732, ASV2834, ASV2837, ASV2937, ASV2951, ASV3025, ASV3193, ASV3273, ASV3294, ASV3340, ASV3338, ASV3373, ASV3410, ASV3446, ASV3527, ASV3564, ASV3635, ASV3707, ASV3746, ASV3747, ASV3834, ASV3921, ASV3948, ASV3959, ASV4117, ASV4152, ASV4205, ASV4243, ASV4266, ASV4360, ASV4510, ASV4524, ASV4531, ASV4574, ASV4603, ASV4604, ASV4675, ASV4704, ASV4822, ASV5030, ASV5042, ASV5088, ASV5106, ASV5222, ASV5399, ASV5688, ASV5837, ASV5926, ASV6010, ASV6236, ASV6297, ASV6410, ASV6540, ASV6743, ASV6784, ASV6873, ASV6957, ASV7122, ASV7132, ASV7262, ASV7334, ASV7403, ASV7531, ASV7696, ASV7812, ASV7892, ASV7903, ASV8096, ASV8720, ASV8821, ASV8956, ASV9242, ASV9694, ASV9896, ASV10417, ASV11799, ASV11800
OTU64	ASV86, ASV1154, ASV6617
OTU65	ASV87, ASV1418, ASV3285, ASV3297, ASV8209, ASV9461
OTU66	ASV88, ASV1701, ASV2662, ASV3351, ASV3359, ASV10191, ASV10955
OTU67	ASV89, ASV144, ASV410, ASV619, ASV942, ASV1288, ASV1717, ASV2036, ASV2326, ASV2583, ASV2871, ASV3192, ASV3512, ASV3533, ASV3729, ASV3795, ASV4077, ASV4467, ASV5552, ASV6891, ASV7396, ASV7598, ASV8645, ASV11244, ASV11560
OTU68	ASV90, ASV4427
OTU69	ASV92, ASV149, ASV164, ASV255, ASV797, ASV1221, ASV1574, ASV1623, ASV2510, ASV2543, ASV3113, ASV3248, ASV3604, ASV4495, ASV5674, ASV8037, ASV10289, ASV10605, ASV10648
OTU70	ASV94
OTU71	ASV96, ASV1763, ASV10918
OTU72	ASV97
OTU73	ASV98, ASV1500, ASV11840
OTU74	ASV99, ASV315, ASV498, ASV1054, ASV1775, ASV5963, ASV7492, ASV11963
OTU75	ASV100, ASV10008
OTU76	ASV102
OTU77	ASV103, ASV1554, ASV2338, ASV2845, ASV5264, ASV6489, ASV6588
OTU78	ASV105, ASV153, ASV500, ASV3633, ASV7297
OTU79	ASV106, ASV804, ASV2731, ASV3048, ASV5900, ASV7987, ASV8273, ASV8963, ASV10036, ASV10505, ASV11043
OTU80	ASV107, ASV1440, ASV3319, ASV4628, ASV4807, ASV6301, ASV7846, ASV7996, ASV11832
OTU81	ASV110, ASV119, ASV121, ASV142, ASV231, ASV683, ASV1710, ASV2078, ASV2429, ASV2877, ASV3315, ASV5091, ASV7555, ASV11470
OTU82	ASV112, ASV2914, ASV5038, ASV9958
OTU83	ASV113, ASV998, ASV2500, ASV2526, ASV2643, ASV4805, ASV6523
OTU84	ASV114, ASV198, ASV2530, ASV2694, ASV2756, ASV2827, ASV4781
OTU85	ASV115, ASV1729
OTU86	ASV116, ASV580, ASV590, ASV644, ASV664, ASV967, ASV1019, ASV1272, ASV1856, ASV3096, ASV4181, ASV10061, ASV12013
OTU87	ASV117, ASV215, ASV257, ASV1441, ASV4242, ASV6160, ASV6249, ASV8865, ASV10699
OTU88	ASV118, ASV11875
OTU89	ASV123, ASV263, ASV1531, ASV1821, ASV7135, ASV10974
OTU90	ASV124, ASV2061, ASV2562, ASV4118, ASV6660, ASV9995
OTU91	ASV125, ASV7390, ASV9431
OTU92	ASV126, ASV1082, ASV2417, ASV4387, ASV7853, ASV8891
OTU93	ASV127, ASV555, ASV1292, ASV1753, ASV2045, ASV2442, ASV2520, ASV2657, ASV3001, ASV3083, ASV3328, ASV3559, ASV5145
OTU94	ASV129, ASV4030
OTU95	ASV130, ASV137, ASV3445
OTU96	ASV131, ASV160, ASV322, ASV386, ASV441, ASV542, ASV641, ASV1124, ASV1145, ASV2001, ASV2217, ASV5642
