sampleID	band	species	location	site	nest	year	age	sex	experiment	treatment	cap_doy	cap_num	age	mass	bhead	fwing	dist_time	latency	sseries_type	cort1_raw	cort1_correct	glucose1	buty	bleed2_time	cort2_raw	cort2_correct	glucose2	inject1_type	inject1_dose	inject1_time	inject2_type	inject2_dose	inject2_time	bleed3_time	cort3_raw	cort3_correct	glucose3	release	fate	micro_nb	blood_nb	bolus_nb	lifetag_nb	notes
P19N008	259122557	TRES	Ithaca	Unit_2	111	2019	Adult	M	Color_Stressor	Mate_Control_Dull	142	1	AHY	21.5	28.9	119	00-Jan-00	00-Jan-00	B_S_D	0.98	1.04	210																			190010			Male accidentally caught
P19N010	278172094	TRES	Ithaca	Unit_1	305	2019	Adult	F			143	1	SY	20.75	29.2	115	00-Jan-00	00-Jan-00	B_S_D	0.86	0.91			00-Jan-00	21.88	23.14												00-Jan-00			190012			
P19N019	278172097	TRES	Ithaca	Unit_1	306	2019	Adult	F			145	1	SY	22	20.3	117	00-Jan-00	00-Jan-00	B_S	0	0.47			00-Jan-00	44.01	46.54												00-Jan-00			190025			
P19N043	278172226	TRES	Ithaca	Unit_1	315	2019	Adult	M			148	1	AHY	21.75	29.1	123	00-Jan-00	00-Jan-00	B_S	2.32	2.45			00-Jan-00	18.3	19.35												00-Jan-00			190055			"Before incubation or during incubation 
accidentally captured male instead of female"
P19N045	263113947	TRES	Ithaca	Unit_1	433	2019	Adult	M			148	1	AHY	19.75	28	121	00-Jan-00		B_S					00-Jan-00	15.58	16.48												00-Jan-00			190057			
P19N092	262126105	TRES	Ithaca	Unit_2	122	2019	Adult	M	Color_Stressor	Mate_Predator_Control	153	1	AHY	23.5	29.6	121	00-Jan-00	00-Jan-00	B_S_D	1	1.05	216		00-Jan-00	15.46	16.35												00-Jan-00			190115			
P19N131	281128709	TRES	Ithaca	Unit_2	111	2019	Nestling	Unknown	Color_Stressor	Control_Dull	157		12	15.5	24.8	47	00-Jan-00	00-Jan-00	B_S_D	2.3	2.44	176		00-Jan-00	19.36	20.48	163	Dex	7	00-Jan-00				00-Jan-00	5.85	6.19	173		Died		190169			
P19N132	281128710	TRES	Ithaca	Unit_2	111	2019	Nestling	Unknown	Color_Stressor	Control_Dull	157		12	19	24.9	50	00-Jan-00	00-Jan-00	B_S_D	1.53	1.62	169		00-Jan-00	31.95	33.8	183	Dex	8.5	00-Jan-00				00-Jan-00	7.17	7.59	183		Died		190170			
P19N133	281128711	TRES	Ithaca	Unit_2	111	2019	Nestling	Unknown	Color_Stressor	Control_Dull	157		12	15.5	24.5	44.5	00-Jan-00	00-Jan-00	B_S_D	3.6	3.81	159		00-Jan-00	35.87	37.94	192	Dex	7	00-Jan-00				00-Jan-00	5.26	5.57	146		Died		190171			
P19N154	278172166	TRES	Ithaca	Unit_2	20	2019	Adult	M	Color_Stressor	Mate_Control_Control	159	1	AHY	17	29.3	123	00-Jan-00																					00-Jan-00			190200			
P19N155	263114244	TRES	Ithaca	Unit_2	68	2019	Adult	M	Color_Stressor	Mate_Control_Dull	159	1	AHY	18.5	28.2	128	00-Jan-00		B_S_D																			00-Jan-00			190201			
P19N156	262125987	TRES	Ithaca	Unit_1	421	2019	Adult	M			159	1	AHY	20.25	28.3	120	00-Jan-00		B_S_D					00-Jan-00														00-Jan-00			190204			
P19N167	272106697	TRES	Ithaca	Turkey_Hill	11	2019	Adult	F	Light	Light_Control	160	3	ASY	20.75			00-Jan-00	00-Jan-00	B_S_D	3.66	3.87																	00-Jan-00			19N0476			
P19N172	278172414	TRES	Ithaca	Liddell	41	2019	Nestling	Unknown	Light	Light	160		12	19.03	24.7	39.5	00-Jan-00	00-Jan-00	B_S_D	0.79	0.99			00-Jan-00	36.2	44.93		Dex	8.5	00-Jan-00				00-Jan-00	2.97	3.7			Fledged		190224			
P19N173	278172416	TRES	Ithaca	Liddell	41	2019	Nestling	Unknown	Light	Light	160		12	17.2	24.1	34	00-Jan-00	00-Jan-00	B_S_D	0.9	1.12			00-Jan-00	30.43	37.77		Dex	7.5	00-Jan-00				00-Jan-00	3.12	3.87			Died		190226			
P19N174	278172418	TRES	Ithaca	Liddell	41	2019	Nestling	Unknown	Light	Light	160		12	17.7	23.5	33	00-Jan-00	00-Jan-00	B_S_D	1.48	1.84			00-Jan-00	13.13	16.3		Dex	7.5	00-Jan-00				00-Jan-00	4.47	5.55			Fledged		190227			
P19N184	278172420	TRES	Ithaca	Turkey_Hill	3	2019	Adult	M	Light	Mate_Light	161	1	AHY	21	29.3	119	00-Jan-00		B_S_D	1.67	1.77																	00-Jan-00			190238			
P19N187	278172168	TRES	Ithaca	Unit_2	35	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	161		12	19.25	24.9	50	00-Jan-00	00-Jan-00	B_S_D	3.33	3.53	219		00-Jan-00	59.82	63.27	237	Dex	8.5	00-Jan-00				00-Jan-00	3.18	3.37	247		Fledged		190242			
P19N188	281128718	TRES	Ithaca	Unit_2	35	2019	Nestling	Unknown	Color_Stressor	Predator_Dull	161		12	19.5	24.7	45	00-Jan-00		B_S_D					00-Jan-00	45.74	48.38	234	Dex	9	00-Jan-00				00-Jan-00	3.66	3.87	252		Died		190244			
P19N189	281128722	TRES	Ithaca	Unit_2	103	2019	Nestling	Unknown	Color_Stressor	Control_Control	161		12	19.5	24.4	45	00-Jan-00	00-Jan-00	B_S_D	0.65	0.69	175		00-Jan-00	54	57.12	195	Dex	9	00-Jan-00				00-Jan-00	7.26	7.68	229		Fledged		190248			
P19N190	281128723	TRES	Ithaca	Unit_2	103	2019	Nestling	Unknown	Color_Stressor	Control_Control	161		12	21	25.7	48	00-Jan-00	00-Jan-00	B_S_D	3.55	3.76	181		00-Jan-00	41.68	44.08	197	Dex	9.5	00-Jan-00				00-Jan-00	8.96	9.48	224		Fledged		190249			
P19N191	281128724	TRES	Ithaca	Unit_2	103	2019	Nestling	Unknown	Color_Stressor	Control_Control	161		12	24.5	26.2	50	00-Jan-00	00-Jan-00	B_S_D	11.67	12.34	186		00-Jan-00	20.98	22.19	216	Dex	11	00-Jan-00				00-Jan-00	4.71	4.98	220		Died		190250			
P19N199	278172421	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	162		12	22	26	51	00-Jan-00	00-Jan-00	B_S_D	0.49	0.61			00-Jan-00	23.58	29.27		Dex	10	00-Jan-00				00-Jan-00	8.69	10.79			Fledged		190267			Telomere sample was left in the mini fridge over night.
P19N200	278172422	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	162		12	21	25	45	00-Jan-00	00-Jan-00	B_S_D	2.28	2.83			00-Jan-00	35.72	44.33		Dex	9.5	00-Jan-00				00-Jan-00	4.89	6.07			Fledged		190268			Telomere sample was left in the mini fridge over night.
P19N201	278172423	TRES	Ithaca	Liddell	39	2019	Nestling	Unknown	Light	Light_Control	162		12	23		48	00-Jan-00	00-Jan-00	B_S_D	4.5	5.59			00-Jan-00	32.52	40.36		Dex	10.5	00-Jan-00				00-Jan-00	7.62	9.46			Fledged		190269			"Telomere sample was left in the mini fridge over night.
Bill+Head written as 55.2 in data sheet."
